word,count
금융,2487
대출,914
지역,763
투자,745
기업,737
서울,619
은행,590
제공,566
지원,530
서비스,521
시장,519
보험,511
지방,508
고객,485
연금,469
상품,464
기자,446
기준,428
정보,427
확대,423
대상,410
이번,403
자산,403
기관,399
자금,399
정책,384
금리,372
대표,371
규제,356
산업,353
