word,count
금융,2509
대출,1253
은행,994
서울,779
투자,777
위원회,744
시장,728
의원,675
자산,652
위원장,636
국회,566
기자,548
기업,535
고객,532
금리,531
정부,513
서비스,512
감사,504
거래,503
관련,502
부동산,493
국정,483
제공,478
국내,476
지원,426
올해,422
정책,416
대책,402
가능,399
규제,367
