word,count
금융,1097
대출,795
고객,537
자산,461
투자,455
은행,433
지역,413
서비스,384
금리,378
시장,377
제공,375
서울,364
연체,363
기업,362
카드,341
관리,324
상품,312
기준,308
혜택,297
이번,286
대표,285
상승,277
기자,275
가능,273
글로벌,270
지원,270
국내,255
부동산,255
달러,249
자금,243
