word,count
금융,2080
구독,1720
금리,1453
투자,905
대출,903
트럼프,867
기사,864
부동산,847
서울,823
기준,812
시장,803
달러,793
시간,766
뉴스,762
관세,753
정부,751
기자,724
대통령,698
인하,693
정책,663
정상,642
언론사,625
미국,615
협상,568
환율,542
통화,537
한국,534
은행,532
위원회,517
경제,511
